target,lambda,n_nonzero,top3_hedges
NVDA,2.628758186089523e-05,14,"MU, INTC, AMD"
GOOG,1.5718491506000824e-05,11,"META, MSFT, AMZN"
AAPL,2.8691029986323503e-05,17,"BABA, GOOG, CSCO"
MSFT,1.4361688146727596e-05,19,"MA, AMZN, GOOG"
AMZN,3.4370214357188884e-05,8,"MSFT, META, GOOG"
TSM,1.9803795265232902e-05,15,"AVGO, TCEHY, ASML"
AVGO,2.5762920965149437e-05,10,"ADI, TSM, ASML"
META,3.262950240394615e-05,6,"GOOG, AMZN, MA"
TSLA,7.397818338233993e-05,7,"INTC, NFLX, LRCX"
WMT,1.2154435852389823e-05,12,"COST, PEP, PG"
005930.KS,1.9362105283797223e-05,6,"000660.KS, 1398.HK, TSLA"
BRK-B,2.5621172365706236e-05,9,"MS, RTX, CAT"
LLY,2.0920707845103698e-05,11,"MRK, NVO, RTX"
JPM,1.2363711227711997e-05,9,"C, BAC, MS"
000660.KS,1.9870800632654898e-05,14,"005930.KS, MU, C"
MU,2.1129209365213385e-05,12,"LRCX, NVDA, AMAT"
XOM,1.1357157034436784e-05,15,"CVX, TTE, INTC"
V,1.6460538818723317e-05,6,"MA, ASML, MSFT"
AMD,0.00018918796043131264,2,"NVDA, MU, GOOG"
TCEHY,2.990786100122737e-05,15,"BABA, TSM, 1398.HK"
JNJ,1.8693497710494246e-05,9,"MRK, LLY, NFLX"
ASML,2.1889715579758808e-05,18,"LRCX, MU, AMAT"
ORCL,8.910574140680339e-06,21,"IBM, T, MSFT"
INTC,1.8357533698716908e-05,14,"NVDA, TXN, XOM"
COST,1.7597811677127397e-05,13,"WMT, CSCO, MA"
MA,1.186790731625619e-05,11,"V, META, MSFT"
CAT,4.072372407206471e-05,9,"BHP, RTX, GE"
NFLX,5.338556619144917e-05,7,"AMZN, NVDA, META"
CVX,1.839979333511172e-05,6,"XOM, SHEL, AMD"
BAC,9.62497208719141e-06,8,"GS, JPM, WFC"
ABBV,3.153585264618578e-05,10,"MRK, CAT, AMD"
CSCO,1.4100680113386225e-05,26,"ANET, IBM, AAPL"
